Date,425_pct_Al,M_Value,C4_pct_Eth,C4_pct_H2O,HydWtr_pct_Ammonia
2012-05-16 17:00:00,6.30763,3.50893,2.50842,21.9634,0.908765
2012-05-16 19:00:00,6.30904,3.50833,2.51385,21.9739,0.90652
2012-05-16 20:00:00,6.30974,3.50803,2.51657,21.9792,0.905398
2012-05-16 21:00:00,6.31044,3.50773,2.51928,21.9845,0.904276
2012-05-16 22:00:00,6.31114,3.50743,2.522,21.9898,0.903154
2012-05-16 23:00:00,6.31184,3.50712,2.52471,21.995,0.902032
2012-05-17 00:00:00,6.31254,3.50682,2.52743,22.0003,0.90091
2012-05-17 01:00:00,6.31325,3.50652,2.53014,22.0056,0.899787
2012-05-17 02:00:00,6.31395,3.50622,2.53286,22.0109,0.898665
2012-05-17 03:00:00,6.31465,3.50592,2.53557,22.0161,0.897543
2012-05-17 04:00:00,6.31535,3.50562,2.53829,22.0214,0.896421
2012-05-17 05:00:00,6.31605,3.50532,2.541,22.0267,0.895299
2012-05-17 06:00:00,6.31676,3.5058,2.54372,22.032,0.889741
2012-05-17 07:00:00,6.31746,3.50628,2.54643,22.0372,0.884182
2012-05-17 08:00:00,6.31816,3.50677,2.54915,22.0425,0.878624
2012-05-17 09:00:00,6.31886,3.50725,2.55186,22.0478,0.873066
2012-05-17 10:00:00,6.31956,3.50773,2.55458,22.0531,0.867508
2012-05-17 11:00:00,6.32027,3.50821,2.55729,22.0583,0.86195
2012-05-17 12:00:00,6.32097,3.50869,2.56001,22.0636,0.856392
2012-05-17 13:00:00,6.32167,3.50917,2.56272,22.0689,0.850833
2012-05-17 14:00:00,6.32237,3.50965,2.56544,22.0741,0.845275
2012-05-17 15:00:00,6.32307,3.51013,2.56815,22.0794,0.839717
2012-05-17 16:00:00,6.32377,3.51061,2.57087,22.0847,0.834159
2012-05-17 17:00:00,6.32448,3.51109,2.57358,22.09,0.828601
2012-05-17 18:00:00,6.32518,3.51157,2.5763,22.0952,0.823043
2012-05-17 19:00:00,6.32588,3.51205,2.57902,22.1005,0.817485
2012-05-17 20:00:00,6.32658,3.51253,2.58173,22.1058,0.811926
2012-05-17 21:00:00,6.32728,3.51301,2.58444,22.1111,0.806368
2012-05-17 22:00:00,6.32799,3.51349,2.58716,22.1163,0.80081
2012-05-17 23:00:00,6.32869,3.51398,2.58987,22.1216,0.795252
2012-05-18 00:00:00,6.32939,3.51446,2.58269,22.1146,0.789694
2012-05-18 01:00:00,6.33009,3.51494,2.5755,22.1077,0.784136
2012-05-18 02:00:00,6.33079,3.51542,2.56832,22.1007,0.778577
2012-05-18 03:00:00,6.3315,3.5159,2.56113,22.0937,0.773019
2012-05-18 04:00:00,6.3322,3.51638,2.55395,22.0867,0.767461
2012-05-18 05:00:00,6.3329,3.51686,2.54676,22.0798,0.761903
2012-05-18 06:00:00,6.3336,3.51736,2.53958,22.0728,0.764545
2012-05-18 07:00:00,6.3343,3.51786,2.53239,22.0658,0.767188
2012-05-18 08:00:00,6.335,3.51835,2.52521,22.0588,0.76983
2012-05-18 09:00:00,6.33571,3.51885,2.51802,22.0519,0.772472
2012-05-18 10:00:00,6.33641,3.51935,2.51084,22.0449,0.775114
2012-05-18 11:00:00,6.33711,3.51985,2.50365,22.0379,0.777757
2012-05-18 12:00:00,6.33781,3.52035,2.49647,22.031,0.780399
2012-05-18 13:00:00,6.33851,3.52085,2.48928,22.024,0.783041
2012-05-18 14:00:00,6.33922,3.52135,2.4821,22.017,0.785684
2012-05-18 15:00:00,6.33992,3.52184,2.47491,22.01,0.788326
2012-05-18 16:00:00,6.34062,3.52234,2.46772,22.0031,0.790968
2012-05-18 17:00:00,6.34132,3.52284,2.46054,21.9961,0.79361
2012-05-18 18:00:00,6.34202,3.52334,2.45335,21.9891,0.796253
2012-05-18 19:00:00,6.34272,3.52384,2.44617,21.9821,0.798895
2012-05-18 20:00:00,6.34343,3.52434,2.43898,21.9752,0.801537
2012-05-18 21:00:00,6.34413,3.52483,2.4318,21.9682,0.80418
2012-05-18 22:00:00,6.34483,3.52533,2.42461,21.9612,0.806822
2012-05-18 23:00:00,6.34553,3.52583,2.41743,21.9542,0.809464
2012-05-19 00:00:00,6.34623,3.52633,2.41024,21.9473,0.812106
2012-05-19 01:00:00,6.34694,3.52683,2.40306,21.9403,0.814749
2012-05-19 02:00:00,6.34764,3.52733,2.39587,21.9333,0.817391
2012-05-19 03:00:00,6.34834,3.52782,2.38869,21.9264,0.820033
2012-05-19 04:00:00,6.34904,3.52832,2.3815,21.9194,0.822676
2012-05-19 05:00:00,6.34974,3.52882,2.37432,21.9124,0.825318
2012-05-19 06:00:00,6.35045,3.52932,2.36713,21.9054,0.826893
2012-05-19 07:00:00,6.35115,3.52982,2.35994,21.8985,0.828468
2012-05-19 08:00:00,6.35185,3.53032,2.35276,21.8915,0.830044
2012-05-19 09:00:00,6.35255,3.53081,2.34557,21.8845,0.831619
2012-05-19 10:00:00,6.35325,3.53131,2.33839,21.8775,0.833194
2012-05-19 11:00:00,6.35395,3.53181,2.3312,21.8706,0.834769
2012-05-19 12:00:00,6.35466,3.53231,2.32402,21.8636,0.836345
2012-05-19 13:00:00,6.35536,3.53281,2.31683,21.8566,0.83792
2012-05-19 14:00:00,6.35606,3.53331,2.30965,21.8496,0.839495
2012-05-19 15:00:00,6.35676,3.5338,2.30246,21.8427,0.841071
