Iteration,Rolling Sizes CDunit,Rolling Sizes FB554,Rolling Sizes AlCon,Shift Hours AlCon,Shift Hours FB554,R-squared,Adj R-Squared,F-statistic,Prob (F-statistic)
721,4,10,2,-2,2,0.716113338,0.709022737,100.9947283,0
722,4,10,2,-2,4,0.716113338,0.709022737,100.9947283,0
723,4,10,2,-2,6,0.716113338,0.709022737,100.9947283,0
724,4,10,2,-2,8,0.716113338,0.709022737,100.9947283,0
725,4,10,2,-4,2,0.716113338,0.709022737,100.9947283,0
726,4,10,2,-4,4,0.716113338,0.709022737,100.9947283,0
727,4,10,2,-4,6,0.716113338,0.709022737,100.9947283,0
728,4,10,2,-4,8,0.716113338,0.709022737,100.9947283,0
729,4,10,2,-6,2,0.716113338,0.709022737,100.9947283,0
730,4,10,2,-6,4,0.716113338,0.709022737,100.9947283,0
731,4,10,2,-6,6,0.716113338,0.709022737,100.9947283,0
732,4,10,2,-6,8,0.716113338,0.709022737,100.9947283,0
733,4,10,2,-8,2,0.716113338,0.709022737,100.9947283,0
734,4,10,2,-8,4,0.716113338,0.709022737,100.9947283,0
735,4,10,2,-8,6,0.716113338,0.709022737,100.9947283,0
736,4,10,2,-8,8,0.716113338,0.709022737,100.9947283,0
737,4,10,4,-2,2,0.716084865,0.708993553,100.9805844,0
738,4,10,4,-2,4,0.716084865,0.708993553,100.9805844,0
739,4,10,4,-2,6,0.716084865,0.708993553,100.9805844,0
740,4,10,4,-2,8,0.716084865,0.708993553,100.9805844,0
741,4,10,4,-4,2,0.716084865,0.708993553,100.9805844,0
742,4,10,4,-4,4,0.716084865,0.708993553,100.9805844,0
743,4,10,4,-4,6,0.716084865,0.708993553,100.9805844,0
744,4,10,4,-4,8,0.716084865,0.708993553,100.9805844,0
745,4,10,4,-6,2,0.716084865,0.708993553,100.9805844,0
746,4,10,4,-6,4,0.716084865,0.708993553,100.9805844,0
747,4,10,4,-6,6,0.716084865,0.708993553,100.9805844,0
748,4,10,4,-6,8,0.716084865,0.708993553,100.9805844,0
749,4,10,4,-8,2,0.716084865,0.708993553,100.9805844,0
750,4,10,4,-8,4,0.716084865,0.708993553,100.9805844,0
751,4,10,4,-8,6,0.716084865,0.708993553,100.9805844,0
752,4,10,4,-8,8,0.716084865,0.708993553,100.9805844,0
753,4,10,6,-2,2,0.715978784,0.708884822,100.9279149,0
754,4,10,6,-2,4,0.715978784,0.708884822,100.9279149,0
755,4,10,6,-2,6,0.715978784,0.708884822,100.9279149,0
756,4,10,6,-2,8,0.715978784,0.708884822,100.9279149,0
757,4,10,6,-4,2,0.715978784,0.708884822,100.9279149,0
758,4,10,6,-4,4,0.715978784,0.708884822,100.9279149,0
759,4,10,6,-4,6,0.715978784,0.708884822,100.9279149,0
760,4,10,6,-4,8,0.715978784,0.708884822,100.9279149,0
761,4,10,6,-6,2,0.715978784,0.708884822,100.9279149,0
762,4,10,6,-6,4,0.715978784,0.708884822,100.9279149,0
763,4,10,6,-6,6,0.715978784,0.708884822,100.9279149,0
764,4,10,6,-6,8,0.715978784,0.708884822,100.9279149,0
765,4,10,6,-8,2,0.715978784,0.708884822,100.9279149,0
766,4,10,6,-8,4,0.715978784,0.708884822,100.9279149,0
767,4,10,6,-8,6,0.715978784,0.708884822,100.9279149,0
768,4,10,6,-8,8,0.715978784,0.708884822,100.9279149,0
769,4,10,8,-2,2,0.715848065,0.708750838,100.8630662,0
770,4,10,8,-2,4,0.715848065,0.708750838,100.8630662,0
771,4,10,8,-2,6,0.715848065,0.708750838,100.8630662,0
772,4,10,8,-2,8,0.715848065,0.708750838,100.8630662,0
773,4,10,8,-4,2,0.715848065,0.708750838,100.8630662,0
774,4,10,8,-4,4,0.715848065,0.708750838,100.8630662,0
775,4,10,8,-4,6,0.715848065,0.708750838,100.8630662,0
776,4,10,8,-4,8,0.715848065,0.708750838,100.8630662,0
777,4,10,8,-6,2,0.715848065,0.708750838,100.8630662,0
778,4,10,8,-6,4,0.715848065,0.708750838,100.8630662,0
779,4,10,8,-6,6,0.715848065,0.708750838,100.8630662,0
780,4,10,8,-6,8,0.715848065,0.708750838,100.8630662,0
781,4,10,8,-8,2,0.715848065,0.708750838,100.8630662,0
782,4,10,8,-8,4,0.715848065,0.708750838,100.8630662,0
783,4,10,8,-8,6,0.715848065,0.708750838,100.8630662,0
784,4,10,8,-8,8,0.715848065,0.708750838,100.8630662,0
785,4,10,10,-2,2,0.715759885,0.708660456,100.819355,0
786,4,10,10,-2,4,0.715759885,0.708660456,100.819355,0
787,4,10,10,-2,6,0.715759885,0.708660456,100.819355,0
788,4,10,10,-2,8,0.715759885,0.708660456,100.819355,0
789,4,10,10,-4,2,0.715759885,0.708660456,100.819355,0
790,4,10,10,-4,4,0.715759885,0.708660456,100.819355,0
791,4,10,10,-4,6,0.715759885,0.708660456,100.819355,0
792,4,10,10,-4,8,0.715759885,0.708660456,100.819355,0
793,4,10,10,-6,2,0.715759885,0.708660456,100.819355,0
794,4,10,10,-6,4,0.715759885,0.708660456,100.819355,0
795,4,10,10,-6,6,0.715759885,0.708660456,100.819355,0
796,4,10,10,-6,8,0.715759885,0.708660456,100.819355,0
797,4,10,10,-8,2,0.715759885,0.708660456,100.819355,0
798,4,10,10,-8,4,0.715759885,0.708660456,100.819355,0
799,4,10,10,-8,6,0.715759885,0.708660456,100.819355,0
800,4,10,10,-8,8,0.715759885,0.708660456,100.819355,0
801,4,10,12,-2,2,0.715751616,0.708651981,100.8152575,0
802,4,10,12,-2,4,0.715751616,0.708651981,100.8152575,0
803,4,10,12,-2,6,0.715751616,0.708651981,100.8152575,0
804,4,10,12,-2,8,0.715751616,0.708651981,100.8152575,0
805,4,10,12,-4,2,0.715751616,0.708651981,100.8152575,0
806,4,10,12,-4,4,0.715751616,0.708651981,100.8152575,0
807,4,10,12,-4,6,0.715751616,0.708651981,100.8152575,0
