Iteration,Rolling Sizes CDunit,Rolling Sizes FB554,Rolling Sizes AlCon,Shift Hours AlCon,Shift Hours FB554,R-squared,Adj R-Squared,F-statistic,Prob (F-statistic)
1,4,4,2,-2,2,0.7874839249498922,0.7871557931139596,2399.901011469038,0.0
2,4,4,4,-2,2,0.7875302848205072,0.7872022245657454,2400.5659734434626,0.0
3,4,4,6,-2,2,0.7875065450343396,0.7871784481245642,2400.2254259977917,0.0
4,4,4,8,-2,2,0.7874948249732703,0.7871667099673336,2400.0573296707594,0.0
5,4,4,10,-2,2,0.7874776237882455,0.7871494822231113,2399.8106532651937,0.0
6,4,4,12,-2,2,0.7874528873072211,0.7871247075481435,2399.455985708878,0.0
7,4,4,14,-2,2,0.7874333221138934,0.7871051121455114,2399.1755216811857,0.0
8,4,4,16,-2,2,0.7874293875887179,0.7871011715452991,2399.1191271049615,0.0
9,4,4,18,-2,2,0.7874474740354079,0.78711928591806,2399.378382126069,0.0
10,4,4,20,-2,2,0.7874770725480501,0.7871489301317829,2399.802748775397,0.0
11,4,4,22,-2,2,0.7875095968578955,0.7871815046602364,2400.2692001718483,0.0
12,4,4,24,-2,2,0.7875408170582241,0.787212773065585,2400.717082859747,0.0
13,4,4,26,-2,2,0.7875772140231092,0.7872492262285855,2401.239397236719,0.0
14,4,4,28,-2,2,0.7876204170610679,0.7872924959734611,2401.8596144860207,0.0
15,4,4,30,-2,2,0.7876803585594616,0.7873525300235072,2402.7205449533094,0.0
16,4,6,2,-2,2,0.7887798276505565,0.788453696731177,2418.5987306911784,0.0
17,4,6,4,-2,2,0.7888124317329894,0.7884863511553896,2419.0721126018457,0.0
18,4,6,6,-2,2,0.7887734269828631,0.7884472861806413,2418.5058159219616,0.0
19,4,6,8,-2,2,0.788747700289917,0.788421519764832,2418.1324132832738,0.0
20,4,6,10,-2,2,0.7887169192751702,0.7883906912231822,2417.6857706403143,0.0
21,4,6,12,-2,2,0.7886782894849578,0.7883520017872984,2417.1254237973335,0.0
22,4,6,14,-2,2,0.7886462433705078,0.7883199061925896,2416.6607323188146,0.0
23,4,6,16,-2,2,0.7886301366520864,0.7883037746048632,2416.4272266404178,0.0
24,4,6,18,-2,2,0.7886365782377833,0.7883102261365812,2416.5206086700655,0.0
25,4,6,20,-2,2,0.7886564782052314,0.788330156830236,2416.8091293936,0.0
26,4,6,22,-2,2,0.7886801977384652,0.7883539129872121,2417.1530992781118,0.0
27,4,6,24,-2,2,0.7887040457212134,0.7883777977920331,2417.4990097338414,0.0
28,4,6,26,-2,2,0.7887343246128427,0.7884081234352707,2417.938311821861,0.0
29,4,6,28,-2,2,0.7887711951500553,0.78844505090181,2418.473419027544,0.0
30,4,6,30,-2,2,0.7888254375395719,0.7884993770433668,2419.260985983617,0.0
31,4,8,2,-2,2,0.7897821737019314,0.7894575904379468,2433.219026781111,0.0
32,4,8,4,-2,2,0.7898133595836891,0.7894888244717356,2433.6761431741616,0.0
33,4,8,6,-2,2,0.7897693924450049,0.7894447894463377,2433.0317208643246,0.0
34,4,8,8,-2,2,0.7897371299526806,0.7894124771396602,2432.559023915984,0.0
35,4,8,10,-2,2,0.7896985525221976,0.7893738401443509,2431.9939934500967,0.0
36,4,8,12,-2,2,0.7896499200936403,0.7893251326257184,2431.281986173387,0.0
37,4,8,14,-2,2,0.7896069247728976,0.7892820709187809,2430.6527836030036,0.0
38,4,8,16,-2,2,0.7895797715641383,0.7892548757845708,2430.25555030394,0.0
39,4,8,18,-2,2,0.78957514305843,0.7892502401322969,2430.1878485853554,0.0
40,4,8,20,-2,2,0.7895850249654104,0.789260137297268,2430.332396055102,0.0
41,4,8,22,-2,2,0.7896002708024904,0.7892754066744238,2430.555430978311,0.0
42,4,8,24,-2,2,0.7896164484130478,0.7892916092637459,2430.792132383135,0.0
43,4,8,26,-2,2,0.7896403669217511,0.7893155647034164,2431.1421608205274,0.0
44,4,8,28,-2,2,0.7896718411701072,0.789347087549051,2431.602882830886,0.0
45,4,8,30,-2,2,0.789720932315879,0.7893962544931725,2432.3217574052587,0.0
46,4,10,2,-2,2,0.790637528441096,0.7903142658730676,2445.8059999437655,0.0
47,4,10,4,-2,2,0.7906642096040412,0.7903409882326092,2446.200280944257,0.0
48,4,10,6,-2,2,0.7906189119573912,0.7902956206448973,2445.5309542919663,0.0
49,4,10,8,-2,2,0.7905860264004609,0.7902626843115815,2445.045212456791,0.0
50,4,10,10,-2,2,0.7905442699448397,0.7902208633826142,2444.428661264055,0.0
51,4,10,12,-2,2,0.7904902611064424,0.7901667711527873,2443.631563128642,0.0
52,4,10,14,-2,2,0.7904399546849463,0.7901163870565157,2442.889477290144,0.0
53,4,10,16,-2,2,0.7904043480601042,0.7900807254538693,2442.3644480705143,0.0
54,4,10,18,-2,2,0.7903909128686248,0.7900672695180108,2442.166388924218,0.0
55,4,10,20,-2,2,0.7903925116700139,0.7900688707880019,2442.1899568322237,0.0
56,4,10,22,-2,2,0.7903999860616284,0.7900763567203238,2442.300141499696,0.0
57,4,10,24,-2,2,0.7904097017962423,0.7900860874563527,2442.443378948969,0.0
58,4,10,26,-2,2,0.7904277823531931,0.7901041959302804,2442.709972928521,0.0
59,4,10,28,-2,2,0.7904545474648152,0.7901310023681185,2443.104703285524,0.0
60,4,10,30,-2,2,0.7904998382785866,0.7901763631124016,2443.772879388094,0.0
61,6,4,2,-2,2,0.7962971518107892,0.7959826278880917,2531.7538487421184,0.0
62,6,4,4,-2,2,0.7963860207677586,0.7960716340616646,2533.1415270775506,0.0
63,6,4,6,-2,2,0.7964192005478243,0.7961048650724062,2533.659936055239,0.0
64,6,4,8,-2,2,0.7964245030337234,0.7961101757455185,2533.7427990492138,0.0
65,6,4,10,-2,2,0.7964128316142886,0.7960984863050268,2533.560413179362,0.0
66,6,4,12,-2,2,0.7963925282930742,0.7960781516348141,2533.243188921256,0.0
67,6,4,14,-2,2,0.7963702202921259,0.796055809189576,2532.8947159730624,0.0
68,6,4,16,-2,2,0.7963603439399934,0.7960459175880297,2532.740462007562,0.0
69,6,4,18,-2,2,0.796371918864139,0.7960575103842403,2532.92124665553,0.0
70,6,4,20,-2,2,0.7963960264789797,0.7960816552220342,2533.2978409569155,0.0
71,6,4,22,-2,2,0.7964287854171826,0.7961144647411192,2533.8097238518844,0.0
72,6,4,24,-2,2,0.7964636491016016,0.796149382256218,2534.354675973634,0.0
73,6,4,26,-2,2,0.7965022064602327,0.7961879991486838,2534.9575811382742,0.0
74,6,4,28,-2,2,0.7965468203137746,0.7962326818874883,2535.655474341592,0.0
75,6,4,30,-2,2,0.7966069418452453,0.7962928962485885,2536.596437987413,0.0
76,6,6,2,-2,2,0.7974809953048474,0.7971682992755884,2550.3393733356725,0.0
77,6,6,4,-2,2,0.7975560159049557,0.7972434357099801,2551.5244686794676,0.0
78,6,6,6,-2,2,0.7975742089301193,0.7972616568257752,2551.8119950070136,0.0
79,6,6,8,-2,2,0.7975664910969471,0.7972539270760137,2551.690014465683,0.0
80,6,6,10,-2,2,0.7975422500041891,0.7972296485542082,2551.3069438830876,0.0
81,6,6,12,-2,2,0.797508880930436,0.7971962279575036,2550.7797781369495,0.0
82,6,6,14,-2,2,0.7974750989950318,0.7971623938616759,2550.246266943124,0.0
83,6,6,16,-2,2,0.7974542065836603,0.7971414691917315,2549.916406430245,0.0
84,6,6,18,-2,2,0.7974554430821494,0.7971427075994151,2549.935927032087,0.0
85,6,6,20,-2,2,0.7974711089609121,0.7971583976668117,2550.183264902836,0.0
86,6,6,22,-2,2,0.7974961651161676,0.7971834925095982,2550.578938993177,0.0
87,6,6,24,-2,2,0.7975246621250639,0.797212033518817,2551.0290683225817,0.0
88,6,6,26,-2,2,0.7975580930298183,0.797245516041992,2551.5572933765334,0.0
89,6,6,28,-2,2,0.7975973260846567,0.7972848096739624,2552.1774178595006,0.0
90,6,6,30,-2,2,0.7976525459925412,0.7973401148432077,2553.050640738073,0.0
91,6,8,2,-2,2,0.7984193780908657,0.7981081309556084,2565.226431500105,0.0
92,6,8,4,-2,2,0.7984922614527094,0.7981811268517689,2566.3884988653194,0.0
93,6,8,6,-2,2,0.7985052975448516,0.7981941830720677,2566.5964376387174,0.0
94,6,8,8,-2,2,0.7984913265257615,0.798180190481263,2566.373586874675,0.0
95,6,8,10,-2,2,0.7984596570811451,0.7981484721379786,2565.8685441400135,0.0
96,6,8,12,-2,2,0.7984165281238411,0.7981052765881406,2565.1810081092226,0.0
97,6,8,14,-2,2,0.7983722067223734,0.7980608867529658,2564.474769291131,0.0
98,6,8,16,-2,2,0.7983406248674484,0.7980292561346141,2563.971718034763,0.0
99,6,8,18,-2,2,0.7983312231777207,0.798019839928367,2563.8219937486015,0.0
100,6,8,20,-2,2,0.7983372924225778,0.7980259185443386,2563.9186464103827,0.0
101,6,8,22,-2,2,0.798354254812177,0.7980429071244274,2564.1888031432013,0.0
102,6,8,24,-2,2,0.798375472736151,0.7980641578095764,2564.5268009498755,0.0
103,6,8,26,-2,2,0.7984029777677543,0.7980917053098566,2564.9650571724633,0.0
104,6,8,28,-2,2,0.7984371582147336,0.7981259385325745,2565.509843964611,0.0
105,6,8,30,-2,2,0.7984874903856491,0.7981763484180237,2566.312402274949,0.0
106,6,10,2,-2,2,0.7993426716747178,0.7990328501352357,2580.010005150074,0.0
107,6,10,4,-2,2,0.7994101197312291,0.7991004023337731,2581.0953026771326,0.0
108,6,10,6,-2,2,0.7994210807185602,0.7991113802452305,2581.2717433834005,0.0
109,6,10,8,-2,2,0.7994059484205747,0.7990962245824773,2581.028161510502,0.0
110,6,10,10,-2,2,0.7993702628767174,0.7990604839389621,2580.453883240528,0.0
