Date,Octanol PPM ,Hexanol PPM ,Ethanol PPM ,Dodecanol PPM ,Decanol PPM ,Butanol PPM,%nC8OH,%nC6OH,%nC12OH,%nC10OH ,%Al2O3_bM
5/11/2012 23:41,15.83,33.38,222.9,4.45,12.26,2510.95,15.83,33.38,4.45,12.26,4.55
5/12/2012 10:00,17.46,32.45,202.9,5.6,15.27,2580.05,17.46,32.45,5.6,15.27,3.61
5/12/2012 16:00,11.15,22.35,186.5,4.71,9.24,1946.49,11.15,22.35,4.71,9.24,4.11
5/12/2012 22:00,5.46,9.82,72.75,2.34,4.01,768.78,5.46,9.82,2.34,4.01,7.5
5/13/2012 4:00,4.23,5.48,44.95,2.26,3.38,333.09,4.23,5.48,2.26,3.38,7.86
5/13/2012 10:00,3.15,3.14,35.58,1.32,2.11,99.18,3.15,3.14,1.32,2.11,10.97
5/13/2012 16:00,2.33,2.04,42.4,1.17,1.51,70.29,2.33,2.04,1.17,1.51,11.23
5/13/2012 22:00,1.8,1.53,39.19,0.66,1.01,33.29,1.8,1.53,0.66,1.01,11.02
5/14/2012 4:00,1.98,1.71,31.61,0.6,1.17,27.38,1.98,1.71,0.6,1.17,11.79
5/14/2012 10:00,1.32,1.24,90.59,0.75,0.86,98.68,1.32,1.24,0.75,0.86,11.26
5/14/2012 16:00,1.98,1.85,85.65,0.75,1.17,70.66,1.98,1.85,0.75,1.17,10.56
5/14/2012 22:00,2,1.94,111.6,0.52,1.01,78.43,2,1.94,0.52,1.01,10.51
5/15/2012 4:00,1.88,1.68,99.56,1.43,1.34,77.4,1.88,1.68,1.43,1.34,10.73
5/15/2012 10:00,1.49,1.4,104.4,0.82,0.76,93.86,1.49,1.4,0.82,0.76,10.77
5/15/2012 16:00,1.25,1.25,121.1,2.05,1.01,103.63,1.25,1.25,2.05,1.01,10.7
5/15/2012 22:00,1.1,1.16,177.7,1.82,0.78,86.55,1.1,1.16,1.82,0.78,10.5
5/16/2012 4:00,1.09,1.25,167.6,1.35,0.79,84.12,1.09,1.25,1.35,0.79,10.8
5/16/2012 10:00,0.93,1.11,158.6,1.4,0.64,80.54,0.93,1.11,1.4,0.64,10.7
5/16/2012 22:00,1.27,1.33,108.8,0.46,0.78,36.52,1.27,1.33,0.46,0.78,10.5
5/17/2012 4:00,1.68,1.55,103.5,0.77,1.14,44.62,1.68,1.55,0.77,1.14,10.5
5/17/2012 10:00,1.49,1.37,88.29,0.55,1.03,30.37,1.49,1.37,0.55,1.03,10.5
5/17/2012 16:00,2.17,1.74,105,0.85,1.43,34.11,2.17,1.74,0.85,1.43,10.05
5/17/2012 22:00,2.6,2.14,168.3,1.44,1.89,45.48,2.6,2.14,1.44,1.89,9.9
5/18/2012 4:00,3.55,2.79,145.6,1,2.23,42.7,3.55,2.79,1,2.23,9.9
5/18/2012 10:00,4.27,3.19,86.66,1.24,2.82,35.84,4.27,3.19,1.24,2.82,10.42
5/18/2012 17:00,3.99,3.06,56.08,0.91,2.5,24.25,3.99,3.06,0.91,2.5,10.07
5/18/2012 22:00,3.2,2.77,81.57,0.88,2.04,27.95,3.2,2.77,0.88,2.04,9.98
5/19/2012 4:00,3.66,2.9,69.12,1.16,2.56,27.95,3.66,2.9,1.16,2.56,10.15
5/19/2012 10:00,2.75,2.19,60.27,1.12,2.18,23.93,2.75,2.19,1.12,2.18,10.11
5/19/2012 16:00,1.9,1.45,63.04,0.64,1.07,30.56,1.9,1.45,0.64,1.07,10.1
5/19/2012 22:00,1.98,1.61,64.19,0.5,1.22,28.65,1.98,1.61,0.5,1.22,10.11
5/20/2012 4:00,2.5,2.01,58.77,0.54,1.29,29,2.5,2.01,0.54,1.29,10.39
5/20/2012 10:00,2.91,2.38,69.95,0.72,1.76,32.79,2.91,2.38,0.72,1.76,10.32
5/20/2012 16:00,2.78,2.15,81.73,0.89,1.81,31.06,2.78,2.15,0.89,1.81,9.98
5/20/2012 22:00,2.94,2.36,82.14,0.77,1.65,31.78,2.94,2.36,0.77,1.65,9.94
5/21/2012 4:00,2.87,2.35,65.71,0.77,1.7,29.85,2.87,2.35,0.77,1.7,10
5/21/2012 10:00,3.16,2.6,88.64,0.98,2,45.44,3.16,2.6,0.98,2,10.5
5/21/2012 16:00,2.94,2.28,126.3,0.94,1.91,44.42,2.94,2.28,0.94,1.91,9.8
5/21/2012 22:00,2.35,1.96,113.6,0.85,1.42,40.62,2.35,1.96,0.85,1.42,10.1
5/21/2012 22:00,2.35,1.96,113.6,0.85,1.42,40.62,2.35,1.96,0.85,1.42,10.1
5/22/2012 4:00,2.5,2.16,95.39,0.79,1.47,37.26,2.5,2.16,0.79,1.47,10.52
5/22/2012 10:00,3.11,2.47,86.25,1.02,1.95,39.58,3.11,2.47,1.02,1.95,10.5
5/22/2012 16:00,2.5,2.13,108,0.89,1.5,39.42,2.5,2.13,0.89,1.5,10.8
5/22/2012 22:00,2.61,2.06,106.4,1.15,1.4,32.17,2.61,2.06,1.15,1.4,9.84
5/23/2012 4:00,2.92,2.29,91.6,1.01,1.87,33,2.92,2.29,1.01,1.87,10.24
5/23/2012 10:00,3.08,2.41,50.86,0.66,1.79,23.94,3.08,2.41,0.66,1.79,9.7
5/23/2012 16:00,0.74,0.58,13.21,0.57,0.71,5.79,0.74,0.58,0.57,0.71,3.7
5/23/2012 22:00,3.5,3.01,18.72,0.76,2.3,11.03,3.65,3.01,0.76,2.3,10.29
5/24/2012 4:00,2.59,2.11,28.44,0.61,1.44,19.81,2.59,2.11,0.61,1.44,10.84
5/24/2012 10:00,2.63,2.19,50.08,0.68,1.5,31.82,2.63,2.19,0.68,1.5,10.6
5/24/2012 16:00,3.26,2.51,75.88,1.54,2.07,45.02,3.26,2.51,1.54,2.07,11.1
5/24/2012 22:00,54.1,153.5,558.6,38.14,54.12,3835.22,0.19,0.53,0.13,0.19,9.97
5/25/2012 4:00,18.47,54.31,327.6,11.26,12.69,1799.24,0.72,2.11,0.44,0.49,9.6
5/25/2012 10:00,8.33,21.71,143.9,1.52,4.86,593.22,8.33,21.71,1.52,4.86,10.25
5/25/2012 16:00,5.49,9.78,84.46,1.18,3.24,246.01,5.49,9.78,1.18,3.24,10.6
5/25/2012 22:00,3.93,3.59,81.28,1.55,2.65,71.12,3.93,3.59,1.55,2.65,9.93
5/26/2012 4:00,3.79,3,82.66,1.64,2.58,54.45,3.79,3,1.64,2.58,9.75
5/26/2012 10:00,3.24,2.46,77.74,1.21,1.77,49.17,3.24,2.46,1.21,1.77,9.98
5/26/2012 16:00,3.1,2.52,111.3,2.03,1.91,56.77,3.1,2.52,2.03,1.91,10.13
5/26/2012 22:00,3.01,2.38,86.35,1.78,1.82,43.67,3.01,2.38,1.78,1.82,9.48
5/27/2012 4:00,3.32,2.5,78.85,1.73,1.95,43.99,3.32,2.5,1.73,1.95,9.5
5/27/2012 10:00,3.03,2.24,56.16,0.98,1.6,32.82,3.03,2.24,0.98,1.6,9.52
5/27/2012 10:00,3.03,2.24,56.16,0.98,1.6,32.82,3.03,2.24,0.98,1.6,9.72
5/27/2012 16:00,2.86,2.14,66.67,1.21,1.26,38.92,2.86,2.14,1.21,1.26,10
5/27/2012 22:00,3.32,3.15,90.97,1.84,1.83,69.55,3.32,3.15,1.84,1.83,9.69
5/28/2012 4:00,3.04,2.35,78.98,2.17,1.69,41.59,3.04,2.35,2.17,1.69,9.67
5/28/2012 10:00,2.92,2.03,92.18,2.87,1.74,50.9,2.92,2.03,2.87,1.74,9.74
5/28/2012 16:00,2.91,2.22,118.7,4.03,1.91,64.46,2.91,2.22,4.03,1.91,9.8
5/28/2012 22:00,2.68,2.07,89.15,1.78,1.5,36.91,2.68,2.07,1.78,1.5,9.7
5/29/2012 4:00,3.26,2.46,85.16,1.94,1.87,37.02,3.26,2.46,1.94,1.87,9.62
5/29/2012 10:00,3.77,2.73,66.67,1.47,2.08,31.27,3.77,2.73,1.47,2.08,9.79
5/29/2012 16:00,4.71,3.33,52.91,1.75,2.89,29.88,4.71,3.33,1.75,2.89,10.29
5/29/2012 22:00,4.73,3.56,32.75,1.08,2.55,15.69,4.73,3.56,1.08,2.55,10.23
5/30/2012 4:00,5.08,3.8,32.46,1.33,3.1,16.22,5.08,3.8,1.33,3.1,10.5
5/30/2012 10:00,5.7,4.24,39.64,1.32,3.19,19.51,5.7,4.24,1.32,3.19,10.63
5/30/2012 16:00,6.23,4.39,30.83,1.45,3.65,14.74,6.23,4.39,1.45,3.65,10.2
5/30/2012 22:00,6.77,5.1,43.32,1.77,4.17,17.49,6.77,5.1,1.77,4.17,10.32
5/31/2012 4:00,6.17,4.44,25.69,1.47,3.59,12.01,6.17,4.44,1.47,3.59,10.74
5/31/2012 10:00,5.21,3.83,22.52,1.07,2.76,11.14,5.21,3.83,1.07,2.76,10.46
5/31/2012 16:00,5.26,4,17.26,1.14,2.89,9.1,5.26,4,1.14,2.89,10.43
6/1/2012 4:00,5.88,4.42,29.04,1.54,3.13,15.03,5.88,4.42,1.54,3.13,9.71
6/1/2012 16:00,5.03,3.86,29.63,1.59,2.85,13.23,5.03,3.86,1.59,2.85,9.92
6/1/2012 22:00,6.16,4.42,34.21,1.35,3.47,13.05,6.16,4.42,1.35,3.47,10.52
6/2/2012 4:00,5.19,3.93,35.36,1.27,2.83,12.81,5.19,3.93,1.27,2.83,10.19
6/2/2012 10:00,5.12,3.93,29.16,1.15,2.35,12.58,5.12,3.93,1.15,2.35,10.18
6/2/2012 16:00,5.95,4.39,28.31,1.48,3.2,12.3,5.95,4.39,1.48,3.2,10.2
6/2/2012 22:00,6.14,4.48,39.16,1.42,3.37,14.35,6.14,4.48,1.42,3.37,10.29
6/3/2012 4:00,5.11,3.74,36.04,1.4,2.94,12.08,5.11,3.74,1.4,2.94,10.32
6/3/2012 10:00,4.4,3.33,24.45,1.19,2.29,9.76,4.4,3.33,1.19,2.29,9.82
6/3/2012 16:00,4.79,3.59,34.53,1.11,2.46,11.54,4.79,3.59,1.11,2.46,9.7
6/3/2012 22:00,6.16,4.32,46.8,1.72,3.8,14.19,6.16,4.32,1.72,3.8,9.74
6/4/2012 4:00,5.89,4.22,46.3,1.58,3.5,14.32,5.89,4.22,1.58,3.5,10.11
6/4/2012 10:00,5.21,3.79,38.49,1.54,2.76,14.9,5.21,3.79,1.54,2.76,9.84
6/4/2012 16:00,5.37,4.06,38.6,1.45,2.83,15.19,5.37,4.06,1.45,2.83,10.3
6/4/2012 22:00,5.9,4.04,36.3,1.67,3.52,12.53,5.9,4.04,1.67,3.52,9.85
6/5/2012 4:00,5.32,3.7,35.63,1.39,3.14,12.4,5.32,3.7,1.39,3.14,9.84
6/5/2012 10:00,2.86,2.2,25.53,0.64,1.55,11.36,2.86,2.2,0.64,1.55,10.02
6/5/2012 16:00,2.26,1.7,30.58,0.53,1.26,12.64,2.26,1.7,0.53,1.26,10.28
6/5/2012 22:00,1.28,1.08,42.78,0.39,0.78,12.65,1.28,1.08,0.39,0.78,10
6/6/2012 4:00,1.12,0.98,50.64,0.48,0.85,14.45,1.12,0.98,0.48,0.85,9.88
6/6/2012 10:00,1.08,0.87,44.41,0.4,0.88,14.35,1.08,0.87,0.4,0.88,10.25
6/6/2012 16:00,0.87,0.71,38.94,0.27,0.62,13.66,0.87,0.71,0.27,0.62,10.43
6/6/2012 22:00,0.69,0.64,42.47,0.3,0.43,16.52,0.69,0.64,0.3,0.43,10.78
6/7/2012 4:00,0.79,0.77,47.88,0.3,0.44,21.06,0.79,0.77,0.3,0.44,10.65
6/7/2012 10:00,0.85,0.76,32.5,0.28,0.5,17.24,0.85,0.76,0.28,0.5,10.34
