Date,ID,Value
3/1/2022 0:00,PI55020,-2.54728
3/1/2022 1:00,PI55020,-3.09344
3/1/2022 2:00,PI55020,-3.28964
3/1/2022 3:00,PI55020,-3.31525
3/1/2022 4:00,PI55020,-3.09314
3/1/2022 5:00,PI55020,-2.52641
3/1/2022 6:00,PI55020,-3.32075
3/1/2022 7:00,PI55020,-2.7062
3/1/2022 8:00,PI55020,-2.38096
3/1/2022 9:00,PI55020,-2.12223
3/1/2022 10:00,PI55020,-2.01937
3/1/2022 11:00,PI55020,-2.26056
3/1/2022 12:00,PI55020,-2.22081
3/1/2022 13:00,PI55020,-2.73908
3/1/2022 14:00,PI55020,-2.69045
3/1/2022 15:00,PI55020,-2.17394
3/1/2022 16:00,PI55020,-2.42101
3/1/2022 17:00,PI55020,-2.99894
3/1/2022 18:00,PI55020,-3.5128
3/1/2022 19:00,PI55020,-3.58649
3/1/2022 20:00,PI55020,-3.63826
3/1/2022 21:00,PI55020,-3.61549
3/1/2022 22:00,PI55020,-3.58488
3/1/2022 23:00,PI55020,-3.56063
3/2/2022 0:00,PI55020,-3.50475
3/2/2022 1:00,PI55020,-3.28539
3/2/2022 2:00,PI55020,-3.29544
3/2/2022 3:00,PI55020,-3.28607
3/2/2022 4:00,PI55020,-3.34279
3/2/2022 5:00,PI55020,-3.37782
3/2/2022 6:00,PI55020,-3.36918
3/2/2022 7:00,PI55020,-3.39135
3/2/2022 8:00,PI55020,-3.37641
3/2/2022 9:00,PI55020,-2.85515
3/2/2022 10:00,PI55020,-2.44703
3/2/2022 11:00,PI55020,-1.84869
3/2/2022 12:00,PI55020,-1.88998
3/2/2022 13:00,PI55020,-2.88325
3/2/2022 14:00,PI55020,-2.91901
3/2/2022 15:00,PI55020,-2.2441
3/2/2022 16:00,PI55020,-2.62035
3/2/2022 17:00,PI55020,-2.73638
3/2/2022 18:00,PI55020,-2.94661
3/2/2022 19:00,PI55020,-3.41214
3/2/2022 20:00,PI55020,-3.57484
3/2/2022 21:00,PI55020,-3.51386
3/2/2022 22:00,PI55020,-3.51156
3/2/2022 23:00,PI55020,-3.49303
3/3/2022 0:00,PI55020,-3.49636
3/3/2022 1:00,PI55020,-3.41516
3/3/2022 2:00,PI55020,-3.39904
3/3/2022 3:00,PI55020,-3.50705
3/3/2022 4:00,PI55020,-3.45864
3/3/2022 5:00,PI55020,-3.31805
3/3/2022 6:00,PI55020,-3.47423
3/3/2022 7:00,PI55020,-3.33067
3/3/2022 8:00,PI55020,-3.25693
3/3/2022 9:00,PI55020,-2.9143
3/3/2022 10:00,PI55020,-2.64951
3/3/2022 11:00,PI55020,-2.63329
3/3/2022 12:00,PI55020,-1.74219
3/3/2022 13:00,PI55020,-1.92748
3/3/2022 14:00,PI55020,-2.77574
3/3/2022 15:00,PI55020,-2.47622
3/3/2022 16:00,PI55020,-2.60169
3/3/2022 17:00,PI55020,-3.22831
3/3/2022 18:00,PI55020,-3.33295
3/3/2022 19:00,PI55020,-3.40671
3/3/2022 20:00,PI55020,-3.38928
3/3/2022 21:00,PI55020,-3.43323
3/3/2022 22:00,PI55020,-3.35553
3/3/2022 23:00,PI55020,-3.31527
3/4/2022 0:00,PI55020,-3.2112
3/4/2022 1:00,PI55020,-3.28692
3/4/2022 2:00,PI55020,-3.32822
3/4/2022 3:00,PI55020,-3.37423
3/4/2022 4:00,PI55020,-3.36897
3/4/2022 5:00,PI55020,-3.41499
3/4/2022 6:00,PI55020,-3.36781
3/4/2022 7:00,PI55020,-3.04693
3/4/2022 8:00,PI55020,-2.66385
3/4/2022 9:00,PI55020,-2.28952
3/4/2022 10:00,PI55020,-2.12776
3/4/2022 11:00,PI55020,-1.92773
3/4/2022 12:00,PI55020,-2.27905
3/4/2022 13:00,PI55020,-3.43537
3/4/2022 14:00,PI55020,-3.01821
3/4/2022 15:00,PI55020,-2.62857
3/4/2022 16:00,PI55020,-2.64866
3/4/2022 17:00,PI55020,-3.4435
3/4/2022 18:00,PI55020,-3.39868
3/4/2022 19:00,PI55020,-3.55434
3/4/2022 20:00,PI55020,-3.02049
3/4/2022 21:00,PI55020,-3.10256
3/4/2022 22:00,PI55020,-3.18327
3/4/2022 23:00,PI55020,-3.32379
3/5/2022 0:00,PI55020,-3.2456
3/5/2022 1:00,PI55020,-3.33087
3/5/2022 2:00,PI55020,-3.27364
3/5/2022 3:00,PI55020,-3.50613
3/5/2022 4:00,PI55020,-3.476
3/5/2022 5:00,PI55020,-3.21554
3/5/2022 6:00,PI55020,-3.19533
3/5/2022 7:00,PI55020,-3.0773
3/5/2022 8:00,PI55020,-2.74197
3/5/2022 9:00,PI55020,-2.70815
3/5/2022 10:00,PI55020,-2.18099
3/5/2022 11:00,PI55020,-2.48772
3/5/2022 12:00,PI55020,-2.46117
3/5/2022 13:00,PI55020,-2.59006
3/5/2022 14:00,PI55020,-2.59599
3/5/2022 15:00,PI55020,-2.6121
3/5/2022 16:00,PI55020,-2.5766
3/5/2022 17:00,PI55020,-2.90884
3/5/2022 18:00,PI55020,-2.94018
3/5/2022 19:00,PI55020,-2.8138
3/5/2022 20:00,PI55020,-2.85414
3/5/2022 21:00,PI55020,-2.78526
3/5/2022 22:00,PI55020,-2.68793
3/5/2022 23:00,PI55020,-2.727
3/6/2022 0:00,PI55020,-3.12723
3/6/2022 1:00,PI55020,-3.20782
3/6/2022 2:00,PI55020,-3.07555
3/6/2022 3:00,PI55020,-3.07619
3/6/2022 4:00,PI55020,-2.98787
3/6/2022 5:00,PI55020,-2.94524
3/6/2022 6:00,PI55020,-2.85322
3/6/2022 7:00,PI55020,-2.74154
3/6/2022 8:00,PI55020,-2.77315
3/6/2022 9:00,PI55020,-2.69623
3/6/2022 10:00,PI55020,-2.46745
3/6/2022 11:00,PI55020,-2.36409
3/6/2022 12:00,PI55020,-2.43808
3/6/2022 13:00,PI55020,-2.75138
3/6/2022 14:00,PI55020,-2.54018
3/6/2022 15:00,PI55020,-2.69231
3/6/2022 16:00,PI55020,-2.61342
3/6/2022 17:00,PI55020,-2.59091
3/6/2022 18:00,PI55020,-2.81836
3/6/2022 19:00,PI55020,-2.85315
3/6/2022 20:00,PI55020,-2.80658
3/6/2022 21:00,PI55020,-2.97086
3/6/2022 22:00,PI55020,-2.95208
3/6/2022 23:00,PI55020,-3.11887
3/7/2022 0:00,PI55020,-3.13395
3/7/2022 1:00,PI55020,-3.15569
3/7/2022 2:00,PI55020,-3.38829
3/7/2022 3:00,PI55020,-3.27275
3/7/2022 4:00,PI55020,-3.39846
3/7/2022 5:00,PI55020,-3.56327
3/7/2022 6:00,PI55020,-3.55853
3/7/2022 7:00,PI55020,-3.40596
3/7/2022 8:00,PI55020,-3.56823
3/7/2022 9:00,PI55020,-3.82308
3/7/2022 10:00,PI55020,-3.45244
3/7/2022 11:00,PI55020,-3.20842
3/7/2022 12:00,PI55020,-3.21504
3/7/2022 13:00,PI55020,-3.14533
3/7/2022 14:00,PI55020,-3.13397
3/7/2022 15:00,PI55020,-2.89434
3/7/2022 16:00,PI55020,-3.05718
3/7/2022 17:00,PI55020,-3.20219
3/7/2022 18:00,PI55020,-3.30733
3/7/2022 19:00,PI55020,-3.32487
3/7/2022 20:00,PI55020,-3.2358
3/7/2022 21:00,PI55020,-3.22824
3/7/2022 22:00,PI55020,-3.03069
3/7/2022 23:00,PI55020,-2.77908
3/8/2022 0:00,PI55020,-2.49087
3/8/2022 1:00,PI55020,-2.44467
3/8/2022 2:00,PI55020,-2.50364
3/8/2022 3:00,PI55020,-2.44228
3/8/2022 4:00,PI55020,-2.40032
3/8/2022 5:00,PI55020,-2.3055
3/8/2022 6:00,PI55020,-2.42947
3/8/2022 7:00,PI55020,-2.32724
3/8/2022 8:00,PI55020,-2.70575
3/8/2022 9:00,PI55020,-2.48405
3/8/2022 10:00,PI55020,-2.48869
3/8/2022 11:00,PI55020,-2.61494
3/8/2022 12:00,PI55020,-2.31744
3/8/2022 13:00,PI55020,-2.27986
3/8/2022 14:00,PI55020,-2.35653
3/8/2022 15:00,PI55020,-2.34661
3/8/2022 16:00,PI55020,-1.95228
3/8/2022 17:00,PI55020,-1.80655
3/8/2022 18:00,PI55020,-1.83665
3/8/2022 19:00,PI55020,-1.78233
3/8/2022 20:00,PI55020,-1.79597
3/8/2022 21:00,PI55020,-1.71817
3/8/2022 22:00,PI55020,-1.57354
3/8/2022 23:00,PI55020,-1.68967
3/9/2022 0:00,PI55020,-1.58993
3/9/2022 1:00,PI55020,-1.45783
3/9/2022 2:00,PI55020,-1.47001
3/9/2022 3:00,PI55020,-1.55772
3/9/2022 4:00,PI55020,-1.58721
3/9/2022 5:00,PI55020,-1.59936
3/9/2022 6:00,PI55020,-1.46988
3/9/2022 7:00,PI55020,-1.36386
3/9/2022 8:00,PI55020,-1.3981
3/9/2022 9:00,PI55020,-1.23323
3/9/2022 10:00,PI55020,-1.65014
3/9/2022 11:00,PI55020,-1.50605
