features,MSE,MAE,R^2,Adjusted R^2,RMSE,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.914193157,1.036850839,0.338028961,0.337321241,1.383543695,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.914564493,1.037083546,0.337900545,0.337243299,1.383677886,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.914627891,1.036873445,0.337878621,0.337221353,1.383700795,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.914926966,1.037085561,0.337775194,0.337168437,1.383808862,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.915127629,1.037437459,0.3377058,0.337048361,1.383881364,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.915175948,1.037557787,0.33768909,0.337031634,1.383898821,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.915446683,1.037624759,0.337595464,0.336988542,1.383996634,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.915492602,1.037599918,0.337579584,0.336972648,1.384013223,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.915661781,1.03750154,0.337521078,0.336914088,1.384074341,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.91590798,1.037680384,0.337435937,0.3368795,1.384163278,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.916006091,1.038015141,0.337402008,0.336794909,1.384198718,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.916156473,1.036918067,0.337350003,0.33669221,1.384253038,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.916208364,1.037045398,0.337332057,0.336724894,1.384271781,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.916412516,1.036941499,0.337261457,0.336654229,1.384345519,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.91641389,1.038092938,0.337260982,0.336704399,1.384346015,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.916440465,1.03705651,0.337251792,0.336695201,1.384355614,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.916459421,1.038288772,0.337245236,0.336637994,1.38436246,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.916590436,1.038307803,0.337199928,0.336643294,1.384409779,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.917174678,1.038746082,0.336997885,0.33644108,1.38462077,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.917273679,1.037698508,0.336963648,0.336356147,1.38465652,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.917384367,1.038796759,0.336925369,0.336419167,1.384696489,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.917433474,1.037723403,0.336908387,0.336351507,1.384714221,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.917746492,1.037590384,0.336800138,0.336192488,1.384827243,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.917767363,1.037663681,0.336792921,0.336235944,1.384834778,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.917774759,1.038269533,0.336790363,0.336233384,1.384837449,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.917841013,1.038283121,0.336767451,0.336261128,1.38486137,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.918063058,1.037668152,0.336690662,0.3361336,1.384941536,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.918067143,1.037729367,0.33668925,0.336182867,1.384943011,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.918717532,1.038205926,0.336464331,0.335907078,1.385177798,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.918931661,1.038272039,0.33639028,0.335883669,1.385255089,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.919065175,1.038721485,0.336344108,0.335837462,1.385303279,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.919185504,1.038763368,0.336302496,0.33584652,1.385346709,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",1.919349883,1.038960699,0.336245649,0.335688213,1.385406036,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",1.919427034,1.038729321,0.336218969,0.335610786,1.385433879,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",1.919590931,1.03891162,0.33616229,0.335554055,1.385493028,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",1.919656809,1.038699526,0.336139508,0.335480514,1.385516802,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",1.919888853,1.039039525,0.336059261,0.335552398,1.385600539,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",1.920066547,1.038806927,0.335997811,0.335440167,1.385664659,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",1.920106242,1.038951393,0.335984084,0.335426428,1.385678982,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",1.920273028,1.038745561,0.335926405,0.335317954,1.385739163,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",1.92035432,1.039159164,0.335898293,0.335340565,1.385768494,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",1.920591057,1.039154003,0.335816424,0.335207872,1.385853909,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",1.920862237,1.039220414,0.335722644,0.335215523,1.385951744,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",1.920934157,1.039855166,0.335697772,0.335190632,1.38597769,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.920945882,1.039173036,0.335693717,0.335034281,1.38598192,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",1.921080149,1.039191496,0.335647285,0.335089346,1.386030357,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",1.921142165,1.039821508,0.335625838,0.335067882,1.386052728,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.921191587,1.039194683,0.335608747,0.335000005,1.386070556,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.921220481,1.039525869,0.335598755,0.334990004,1.386080979,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",1.921226228,1.039901839,0.335596767,0.335140307,1.386083053,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",1.921414708,1.039858707,0.335531587,0.33502432,1.386151041,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.921534928,1.039569394,0.335490012,0.334931941,1.386194405,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55576', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.921557087,1.039420027,0.335482349,0.334873491,1.386202398,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55576', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.921727257,1.03942645,0.3354235,0.334865374,1.386263776,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55576', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.921782018,1.039753194,0.335404563,0.33484642,1.386283527,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.921980162,1.039158926,0.33533604,0.334727048,1.386354991,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55576', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.922015905,1.039780606,0.335323679,0.334816254,1.386367882,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.922096409,1.039379758,0.335295839,0.334737605,1.386396916,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.922109116,1.039162793,0.335291445,0.334631609,1.386401499,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.922419793,1.039361673,0.335184006,0.334574874,1.386513539,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.922483952,1.039206094,0.335161818,0.334603472,1.386536675,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.922556929,1.039434775,0.335136581,0.334629013,1.386562991,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.922698072,1.039211467,0.33508777,0.334478551,1.386613887,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.922730856,1.039604291,0.335076433,0.334467203,1.386625709,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.922740076,1.040193912,0.335073245,0.334464012,1.386629033,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.922756627,1.039605182,0.335067521,0.334509095,1.386635001,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.922851961,1.040187135,0.335034552,0.334476099,1.386669377,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.922911613,1.040397053,0.335013923,0.334455453,1.386690886,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.92293195,1.039406825,0.33500689,0.334448414,1.386698219,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021')",1.922967115,1.039774585,0.334994729,0.334385425,1.386710898,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",1.922997937,1.039249036,0.33498407,0.334476386,1.386722012,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",1.923081127,1.040409485,0.334955301,0.334447595,1.386752006,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",1.923082969,1.039190321,0.334954665,0.334396144,1.38675267,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",1.923136112,1.039030558,0.334936287,0.334377751,1.386771831,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.923146555,1.039637587,0.334932675,0.334424951,1.386775596,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.923200452,1.039639613,0.334914036,0.334355482,1.386795029,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021')",1.923203611,1.039781613,0.334912944,0.334354388,1.386796168,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",1.923221008,1.038989273,0.334906928,0.334297543,1.38680244,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021')",1.923232897,1.039948471,0.334902816,0.334344252,1.386806727,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021')",1.923273389,1.039946038,0.334888813,0.334381056,1.386821325,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",1.923289681,1.039307815,0.334883179,0.334426228,1.386827199,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'FFC55555', 'TI55017', 'TI55021', 'TI55023')",1.923291183,1.038186363,0.334882659,0.334222418,1.386827741,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FFC55553', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.923323145,1.040313191,0.334871606,0.334363836,1.386839264,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",1.923357968,1.03922105,0.334859564,0.334351784,1.386851819,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",1.923434754,1.039303765,0.334833009,0.33432521,1.386879502,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",1.923501695,1.039102535,0.33480986,0.334302042,1.386903636,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'TC55552', 'TI55017', 'TI55021')",1.923507517,1.04017982,0.334807846,0.334249203,1.386905735,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",1.923539168,1.039298061,0.334796901,0.334238248,1.386917145,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",1.923555749,1.039893066,0.334791166,0.334334153,1.386923123,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",1.923568565,1.039019391,0.334786735,0.334228073,1.386927743,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FFC55553', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.923578366,1.040335202,0.334783345,0.334326326,1.386931277,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",1.923631666,1.039869924,0.334764913,0.334257061,1.386950491,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'FFC55555', 'TI55017', 'TI55021', 'TI55023')",1.923634539,1.038335128,0.334763919,0.334154403,1.386951527,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021')",1.9236632,1.039863488,0.334754007,0.334195319,1.38696186,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",1.923728718,1.039938288,0.33473135,0.33432511,1.386985479,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FFC55553', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",1.923732913,1.040266504,0.334729899,0.33417119,1.386986991,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",1.923750966,1.039357248,0.334723656,0.334266596,1.386993499,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55569', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021')",1.923770268,1.03986667,0.334716981,0.334209093,1.387000457,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",1.923786549,1.039899055,0.334711351,0.334254282,1.387006326,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021')",1.923804086,1.040019749,0.334705286,0.334248213,1.387012648,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55569', 'FFC55553', 'FFC55555', 'TI55017', 'TI55021', 'TI55023')",1.923806037,1.038904078,0.334704611,0.334095041,1.387013351,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",1.9238363,1.039329122,0.334694146,0.33418624,1.387024261,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55009', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021')",1.923853353,1.040017396,0.334688248,0.334180338,1.387030408,,,,,,,
