Date,4250 SAO Al
8/30/2023 12:00,6.341
8/29/2023 12:00,6.336
8/28/2023 12:00,6.465
8/27/2023 12:00,6.381
8/26/2023 12:00,6.346
8/25/2023 12:00,6.383
8/23/2023 12:00,6.281
8/22/2023 12:00,6.287
8/21/2023 12:00,6.355
8/20/2023 12:00,6.285
8/19/2023 12:00,6.331
8/18/2023 12:00,6.331
8/16/2023 12:00,6.282
8/15/2023 12:00,6.355
8/14/2023 12:00,6.474
8/13/2023 12:00,6.43
8/12/2023 12:00,6.318
8/11/2023 12:00,6.273
8/10/2023 12:00,6.131
8/9/2023 12:00,6.058
8/8/2023 12:00,6.006
8/7/2023 12:00,6.15
8/6/2023 12:00,6.17
8/5/2023 12:00,6.196
8/4/2023 12:00,6.209
8/2/2023 12:00,6.288
8/1/2023 12:00,6.315
7/31/2023 12:00,6.356
7/30/2023 12:00,6.389
7/29/2023 12:00,6.414
7/28/2023 12:00,6.229
7/26/2023 12:00,6.22
7/25/2023 12:00,6.233
7/24/2023 12:00,6.288
7/23/2023 12:00,6.196
7/22/2023 12:00,6.228
7/21/2023 12:00,6.273
7/20/2023 12:00,6.343
7/19/2023 12:00,6.364
7/18/2023 12:00,6.37
7/16/2023 12:00,6.373
7/15/2023 12:00,6.451
7/14/2023 12:00,6.475
7/13/2023 12:00,6.516
7/12/2023 12:00,6.504
7/11/2023 12:00,6.525
7/10/2023 12:00,7.582
7/8/2023 12:00,6.463
7/7/2023 12:00,6.464
7/6/2023 12:00,6.465
7/5/2023 12:00,6.447
7/4/2023 12:00,6.479
7/3/2023 12:00,6.475
7/2/2023 12:00,6.468
7/1/2023 12:00,6.443
6/30/2023 12:00,6.365
6/28/2023 12:00,6.534
6/27/2023 12:00,6.666
6/26/2023 12:00,6.709
6/24/2023 12:00,6.547
6/23/2023 12:00,6.518
6/22/2023 12:00,6.477
6/21/2023 12:00,6.203
6/20/2023 12:00,6.464
6/19/2023 12:00,6.762
6/18/2023 12:00,6.348
6/17/2023 12:00,6.299
6/16/2023 12:00,6.247
6/15/2023 12:00,6.159
6/14/2023 12:00,6.088
6/13/2023 12:00,6.07
6/12/2023 12:00,6.201
6/11/2023 12:00,6.212
6/10/2023 12:00,6.253
6/9/2023 12:00,6.26
6/8/2023 12:00,6.214
6/7/2023 12:00,6.247
6/6/2023 12:00,6.332
6/5/2023 12:00,6.369
6/4/2023 12:00,6.468
6/3/2023 12:00,6.555
6/2/2023 12:00,6.515
6/1/2023 12:00,6.528
5/31/2023 12:00,6.368
5/30/2023 12:00,6.322
5/29/2023 12:00,6.331
5/28/2023 12:00,6.423
5/27/2023 12:00,6.41
5/26/2023 12:00,6.355
5/25/2023 12:00,6.358
5/24/2023 12:00,6.332
5/23/2023 12:00,6.279
5/22/2023 12:00,6.69
5/21/2023 12:00,6.157
