Group 1,,,,Group 4,,,,,,,,
FC52018,NIRO SPRAY DRYER FEED,,,PI55004,DA-554 BOTTOM PRESSURE,,,,,,,
II52554,P8-038/039 ATOMIZER AMPS,,,PI55560,DA-554 MIDDLE PRESSURE,,,,,,,
,,,,,,,,,,,,
Group 2,,,,Group 3,,,,Group 5,,,,
FC55003,DA-551 O/H H2O TO DC-551,,,LC55555,FA-552 1ST STG SEP SLRY,,,TC55552,DC-551 ALKOX  FD PREHEAT,,,
FC55102,HYDROL RX OUTLET,,,,,,,,,,,
FC55152,2ND STG SLURRY TO DA554,,,,,,,,,,,
FC55552,ALK FD TO HYDR RX DC-551,,,,,,,,,,,
FC55569,30# STM TO C4 STRIPPER,,,FC55569,30# STM TO C4 STRIPPER,,,FC55569,30# STM TO C4 STRIPPER,,,
FYC55553,TOT H2O TO DC-551,,,,,,,,,,,
LC55553,DC551 HYDR RX SLURRY LEV,,,LC55553,DC551 HYDR RX SLURRY LEV,,,,,,,
LC55557,FA-554 SLURRY LEVEL,,,LC55557,FA-554 SLURRY LEVEL,,,,,,,
TC55555,EA-552 OUT  RECY C4,,,TC55555,EA-552 OUT  RECY C4,,,TC55555,EA-552 OUT  RECY C4,,,
TC55566,DA-554 BTMS COOLER,,,,,,,TC55566,DA-554 BTMS COOLER,,,
,,,,LC55568,DA-554 C4 STRPR BOTTOMS,,,,,,,
,,,,,,,,TC55553,DC-551 HYDR H2O PREHEAT,,,
,,,,,,,,TI40050,CLARK AIR COMP INLET TEMP,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Variables,highly,correlated,with,FC55569:,,,,,,,,
,,,,,,,,,,,,
"FC55569,",Self ,Self ,Self ,,,,,,,,,
"FC55003,",FC55003,DA-551 O/H H2O TO DC-551,,,,,,,,,,
"FC55102,",FC55102,HYDROL RX OUTLET,,,,,,,,,,
"FC55152,",FC55152,2ND STG SLURRY TO DA554,,,,,,,,,,
"FC55552,",FC55552,ALK FD TO HYDR RX DC-551,DC-551 ALKOX  FD PREHEAT,,,,,,,,,
"FYC55553,",FYC55553,TOT H2O TO DC-551,,,,,,,,,,
"LC55553,",LC55553,LC55553,DC551 HYDR RX SLURRY LEV,,,,,,,,,
"LC55555,",LC55555,FA-552 1ST STG SEP SLRY,,,,,,,,,,
"LC55557,",LC55557,FA-554 SLURRY LEVEL,,,,,,,,,,
"LC55568,",LC55568,DA-554 C4 STRPR BOTTOMS,,,,,,,,,,
"TC55552,",TC55552,DC-551 ALKOX  FD PREHEAT,,,,,,,,,,
"TC55553,",TC55553,DC-551 HYDR H2O PREHEAT,,,,,,,,,,
"TC55555,",TC55555,TC55555,TC55555,EA-552 OUT  RECY C4,,,,,,,,
TC55566,TC55566,TC55566,DA-554 BTMS COOLER,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"FC55003,","FC55102,","FC55152,","FC55552,","FYC55553,","LC55553,","LC55555,","LC55557,","LC55568,","TC55552,","TC55553,","TC55555,",TC55566
