Date,Butanol,Decanol,Ethanol,Hexanol,Octanol
2012-05-17 10:00:00,30.3662,1.03026,88.2899,1.36584,1.49212
2012-05-17 11:00:00,30.9908,1.09626,91.081,1.42843,1.60434
2012-05-17 13:00:00,32.24,1.22825,96.6633,1.55359,1.82879
2012-05-18 09:00:00,36.9846,2.71923,96.4821,3.12222,4.14751
2012-05-18 10:00:00,35.841,2.81733,86.6607,3.18897,4.26683
2012-05-18 11:00:00,34.1858,2.77137,82.2919,3.1701,4.2268
2012-05-18 12:00:00,32.5305,2.72542,77.9231,3.15123,4.18677
2012-05-18 13:00:00,30.8753,2.67946,73.5543,3.13237,4.14674
2012-05-18 14:00:00,29.2201,2.6335,69.1855,3.1135,4.10671
2012-05-18 15:00:00,27.5648,2.58754,64.8167,3.09463,4.06668
2012-05-19 00:00:00,27.9515,2.21314,77.4201,2.81629,3.3522
2012-05-19 02:00:00,27.9497,2.3855,73.2691,2.85941,3.50549
2012-05-23 19:00:00,8.41111,1.50416,15.9622,1.79626,2.118
2012-05-23 21:00:00,10.1561,2.03249,17.7996,2.60425,3.0363
2012-05-23 23:00:00,12.4926,2.1546,20.339,2.85852,3.34518
2012-05-24 00:00:00,13.9567,2.01255,21.9598,2.70879,3.19492
2012-05-24 01:00:00,15.4208,1.8705,23.5805,2.55906,3.04466
2012-05-24 04:00:00,19.813,1.44433,28.4428,2.10988,2.59387
2012-05-24 05:00:00,21.8135,1.45437,32.0491,2.12347,2.5999
2012-05-24 06:00:00,23.814,1.4644,35.6554,2.13707,2.60593
2012-05-24 07:00:00,25.8145,1.47443,39.2616,2.15066,2.61196
2012-05-24 09:00:00,29.8156,1.4945,46.4742,2.17784,2.62402
2012-05-24 11:00:00,34.0166,1.59953,54.3799,2.24422,2.73474
2012-05-24 12:00:00,36.217,1.69452,58.6794,2.297,2.83944
2012-05-24 13:00:00,38.4174,1.78951,62.9789,2.34978,2.94414
2012-05-24 14:00:00,40.6179,1.88451,67.2783,2.40256,3.04883
2012-05-24 15:00:00,42.8183,1.9795,71.5778,2.45534,3.15353
2012-05-24 16:00:00,45.0188,2.0745,75.8773,2.50812,3.25822
2012-05-26 08:00:00,50.9283,2.04004,79.3828,2.63679,3.42219
2012-05-27 04:00:00,43.9881,1.95,78.8477,2.49826,3.31735
2012-05-27 05:00:00,42.1262,1.8914,75.0671,2.4558,3.26959
2012-05-27 07:00:00,38.4024,1.77421,67.506,2.37088,3.17406
2012-05-27 12:00:00,34.8515,1.48657,59.6667,2.21021,2.97461
2012-05-29 07:00:00,34.1457,1.97344,75.9147,2.59517,3.51094
2012-06-02 03:00:00,12.8516,2.9333,35.1716,4.0118,5.35128
2012-06-02 06:00:00,12.736,2.6674,33.2946,3.93015,5.16609
2012-06-02 13:00:00,12.4435,2.77645,28.736,4.16198,5.53303
2012-06-02 20:00:00,13.6644,3.31658,35.5449,4.44954,6.07648
2012-06-03 02:00:00,12.8321,3.08465,37.0799,3.98892,5.45402
