Iteration,Rolling Sizes CDunit,Rolling Sizes FB554,Rolling Sizes AlCon,Shift Hours AlCon,Shift Hours FB554,R-squared,Adj R-Squared,F-statistic,Prob (F-statistic)
1,4,4,2,-2,2,0.7983008368695812,0.7979546640563698,2306.0760591330427,0.0
2,4,4,2,-2,4,0.7983008368695812,0.7979546640563698,2306.0760591330427,0.0
3,4,4,2,-2,6,0.7983008368695812,0.7979546640563698,2306.0760591330427,0.0
4,4,4,4,-2,2,0.7983959463348944,0.7980499367564265,2307.438857242713,0.0
5,4,4,4,-2,4,0.7983959463348944,0.7980499367564265,2307.438857242713,0.0
6,4,4,4,-2,6,0.7983959463348944,0.7980499367564265,2307.438857242713,0.0
7,4,4,6,-2,2,0.7984279935667623,0.7980820389904086,2307.8983431357924,0.0
8,4,4,6,-2,4,0.7984279935667623,0.7980820389904086,2307.8983431357924,0.0
9,4,4,6,-2,6,0.7984279935667623,0.7980820389904086,2307.8983431357924,0.0
10,4,4,8,-2,2,0.798442904048231,0.798096975062481,2308.1121760205956,0.0
11,4,4,8,-2,4,0.798442904048231,0.798096975062481,2308.1121760205956,0.0
12,4,4,8,-2,6,0.798442904048231,0.798096975062481,2308.1121760205956,0.0
13,4,4,10,-2,2,0.798438915710189,0.7980929798793228,2308.054975718629,0.0
14,4,4,10,-2,4,0.798438915710189,0.7980929798793228,2308.054975718629,0.0
15,4,4,10,-2,6,0.798438915710189,0.7980929798793228,2308.054975718629,0.0
16,4,4,12,-2,2,0.7984198451017224,0.798073876540298,2307.781498453484,0.0
17,4,4,12,-2,4,0.7984198451017224,0.798073876540298,2307.781498453484,0.0
18,4,4,12,-2,6,0.7984198451017224,0.798073876540298,2307.781498453484,0.0
19,4,4,14,-2,2,0.798399554506882,0.7980535511210579,2307.490583090994,0.0
20,4,4,14,-2,4,0.798399554506882,0.7980535511210579,2307.490583090994,0.0
21,4,4,14,-2,6,0.798399554506882,0.7980535511210579,2307.490583090994,0.0
22,4,4,16,-2,2,0.7983732249594233,0.7980271763846486,2307.1131718403844,0.0
23,4,4,16,-2,4,0.7983732249594233,0.7980271763846486,2307.1131718403844,0.0
24,4,4,16,-2,6,0.7983732249594233,0.7980271763846486,2307.1131718403844,0.0
25,4,4,18,-2,2,0.7983575615119717,0.7980114860542908,2306.888696649909,0.0
26,4,4,18,-2,4,0.7983575615119717,0.7980114860542908,2306.888696649909,0.0
27,4,4,18,-2,6,0.7983575615119717,0.7980114860542908,2306.888696649909,0.0
28,4,4,20,-2,2,0.7983545061927971,0.7980084254913244,2306.8449144819747,0.0
29,4,4,20,-2,4,0.7983545061927971,0.7980084254913244,2306.8449144819747,0.0
30,4,4,20,-2,6,0.7983545061927971,0.7980084254913244,2306.8449144819747,0.0
