Date,Butanol,Decanol
2012-05-16 17:00:00,54.8583,0.722511
2012-05-16 19:00:00,47.5218,0.745297
2012-05-16 20:00:00,43.8536,0.756689
2012-05-16 21:00:00,40.1853,0.768082
2012-05-16 22:00:00,36.5171,0.779475
2012-05-16 23:00:00,37.8677,0.839747
2012-05-17 00:00:00,39.2184,0.900018
2012-05-17 01:00:00,40.5691,0.96029
2012-05-17 02:00:00,41.9197,1.02056
2012-05-17 03:00:00,43.2704,1.08083
2012-05-17 04:00:00,44.6211,1.1411
2012-05-17 05:00:00,42.2453,1.12263
2012-05-17 06:00:00,39.8694,1.10416
2012-05-17 07:00:00,37.4936,1.08568
2012-05-17 08:00:00,35.1178,1.06721
2012-05-17 09:00:00,32.742,1.04874
2012-05-17 10:00:00,30.3662,1.03026
2012-05-17 11:00:00,30.9908,1.09626
2012-05-17 12:00:00,31.6154,1.16226
2012-05-17 13:00:00,32.24,1.22825
2012-05-17 14:00:00,32.8646,1.29425
2012-05-17 15:00:00,33.4891,1.36024
2012-05-17 16:00:00,34.1137,1.42624
2012-05-17 17:00:00,36.008,1.50411
2012-05-17 18:00:00,37.9024,1.58199
2012-05-17 19:00:00,39.7967,1.65987
2012-05-17 20:00:00,41.691,1.73774
2012-05-17 21:00:00,43.5853,1.81562
2012-05-17 22:00:00,45.4796,1.89349
2012-05-17 23:00:00,45.0168,1.94936
2012-05-18 00:00:00,44.5539,2.00523
2012-05-18 01:00:00,44.0911,2.0611
2012-05-18 02:00:00,43.6282,2.11697
2012-05-18 03:00:00,43.1654,2.17284
2012-05-18 04:00:00,42.7026,2.22871
2012-05-18 05:00:00,41.559,2.32681
2012-05-18 06:00:00,40.4154,2.42491
2012-05-18 07:00:00,39.2718,2.52302
2012-05-18 08:00:00,38.1282,2.62112
2012-05-18 09:00:00,36.9846,2.71923
2012-05-18 10:00:00,35.841,2.81733
2012-05-18 11:00:00,34.1858,2.77137
2012-05-18 12:00:00,32.5305,2.72542
2012-05-18 13:00:00,30.8753,2.67946
2012-05-18 14:00:00,29.2201,2.6335
2012-05-18 15:00:00,27.5648,2.58754
2012-05-18 16:00:00,25.9096,2.54159
2012-05-18 17:00:00,24.2544,2.49563
2012-05-18 18:00:00,24.9942,2.40466
2012-05-18 19:00:00,25.734,2.31369
2012-05-18 20:00:00,26.4738,2.22271
2012-05-18 21:00:00,27.2136,2.13174
2012-05-18 22:00:00,27.9534,2.04077
2012-05-18 23:00:00,27.9524,2.12695
2012-05-19 00:00:00,27.9515,2.21314
2012-05-19 01:00:00,27.9506,2.29932
