Date,425 SAO Al
2012-05-20 05:00:00,6.367
2012-05-27 05:00:00,6.183
2012-06-03 05:00:00,6.257
2012-06-17 05:00:00,6.479
2012-09-30 16:00:00,6.106
2012-10-24 03:00:00,6.095
2012-10-25 03:00:00,5.843
2012-10-26 03:00:00,5.873
2012-10-26 12:00:00,6.271
2012-10-26 12:00:00,6.399
2012-10-26 12:00:00,6.098
2012-10-26 12:00:00,6.791
2013-08-21 05:00:00,6.366
2013-08-22 05:00:00,6.332
2013-08-23 05:00:00,6.349
2013-08-24 05:00:00,6.288
2013-08-25 05:00:00,6.325
2013-08-26 05:00:00,6.008
2013-08-27 05:00:00,5.68
2013-08-28 05:00:00,5.922
2013-08-29 05:00:00,6.166
2013-08-30 05:00:00,6.244
2013-08-31 05:00:00,6.055
2013-09-01 05:00:00,6.177
2013-09-02 05:00:00,6.087
2013-09-03 05:00:00,6.017
2013-09-04 05:00:00,6.791
2013-09-05 05:00:00,6.196
2013-09-06 05:00:00,6.282
2013-09-07 05:00:00,6.358
2013-09-08 05:00:00,6.342
2013-09-09 05:00:00,6.173
2013-09-10 05:00:00,5.893
2013-09-11 05:00:00,6.228
2013-09-12 05:00:00,6.37
2013-09-13 05:00:00,6.458
2013-09-14 05:00:00,6.513
2013-09-15 05:00:00,6.567
2013-09-16 05:00:00,6.682
2013-09-17 05:00:00,6.351
2013-09-18 05:00:00,6.484
2013-09-20 05:00:00,6.548
2013-09-21 05:00:00,6.549
2013-09-22 05:00:00,6.302
2013-09-23 05:00:00,6.257
2013-09-25 05:00:00,6.45
2013-09-26 05:00:00,6.391
2013-09-27 05:00:00,6.248
2013-09-28 05:00:00,6.226
2013-09-29 05:00:00,6.357
2013-09-30 05:00:00,6.521
2013-10-01 05:00:00,6.339
2013-10-02 05:00:00,6.162
2013-10-03 05:00:00,6.174
2013-10-04 05:00:00,6.156
2013-10-05 05:00:00,6.099
2013-10-06 05:00:00,6.137
2013-10-07 05:00:00,6.137
2013-10-08 05:00:00,6.097
2013-10-09 05:00:00,6.108
2013-10-10 05:00:00,6.166
2013-10-11 05:00:00,6.061
2013-10-12 05:00:00,6.195
2013-10-13 05:00:00,6.334
2013-10-14 05:00:00,6.356
2013-10-15 05:00:00,6.263
2013-10-16 05:00:00,6.184
2013-10-17 05:00:00,6.261
2013-10-18 05:00:00,6.119
2013-10-19 05:00:00,6.211
2013-10-21 05:00:00,6.143
2013-10-22 05:00:00,6.173
2013-10-27 05:00:00,6.224
2013-10-28 05:00:00,6.199
2013-10-29 05:00:00,5.777
2013-10-30 05:00:00,6.18
2013-10-31 05:00:00,6.102
2013-11-01 05:00:00,6.12
2013-11-02 05:00:00,6.105
2013-11-03 05:00:00,5.526
2013-11-03 05:00:00,5.262
2013-11-04 05:00:00,6.086
2013-11-05 05:00:00,6.018
2013-11-06 05:00:00,6.056
2013-11-07 05:00:00,6.061
2013-11-08 05:00:00,6.058
2013-11-09 05:00:00,5.943
2013-11-10 05:00:00,5.991
2013-11-11 05:00:00,6.102
2013-11-12 05:00:00,6.018
2013-11-13 05:00:00,6.109
2013-11-14 05:00:00,6.097
2013-11-15 05:00:00,6.012
2013-11-16 05:00:00,6.184
2013-11-17 05:00:00,6.171
2013-11-18 05:00:00,6.153
2013-11-19 05:00:00,6.086
2013-11-20 05:00:00,6.184
2013-11-21 05:00:00,6.123
2013-11-22 05:00:00,6.128
2013-11-23 05:00:00,6.231
2013-11-24 05:00:00,6.264
2013-11-25 05:00:00,6.179
2013-11-26 05:00:00,6.31
2013-11-27 05:00:00,6.1
2013-11-28 05:00:00,6.226
2013-11-29 05:00:00,6.328
2013-11-30 05:00:00,6.338
2013-12-01 05:00:00,6.182
2013-12-02 05:00:00,5.325
2013-12-03 05:00:00,6.496
2013-12-04 05:00:00,6.095
2013-12-05 05:00:00,6.104
2013-12-06 05:00:00,6.334
2013-12-07 05:00:00,6.298
2013-12-08 05:00:00,6.262
