Iteration,Rolling Sizes CDunit,Rolling Sizes FB554,Rolling Sizes AlCon,Shift Hours AlCon,Shift Hours FB554,R-squared,Adj R-Squared,F-statistic,Prob (F-statistic)
1.0,4.0,4.0,2.0,-2.0,2.0,0.7338403673862265,0.7271925319740415,110.38786640853962,0.0
2.0,4.0,4.0,2.0,-2.0,4.0,0.7338403673862265,0.7271925319740415,110.38786640853962,0.0
3.0,4.0,4.0,2.0,-2.0,6.0,0.7338403673862265,0.7271925319740415,110.38786640853962,0.0
4.0,4.0,4.0,2.0,-2.0,8.0,0.7338403673862265,0.7271925319740415,110.38786640853962,0.0
5.0,4.0,4.0,2.0,-4.0,2.0,0.7338403673862265,0.7271925319740415,110.38786640853962,0.0
6.0,4.0,4.0,2.0,-4.0,4.0,0.7338403673862265,0.7271925319740415,110.38786640853962,0.0
7.0,4.0,4.0,2.0,-4.0,6.0,0.7338403673862265,0.7271925319740415,110.38786640853962,0.0
8.0,4.0,4.0,2.0,-4.0,8.0,0.7338403673862265,0.7271925319740415,110.38786640853962,0.0
9.0,4.0,4.0,2.0,-6.0,2.0,0.7338403673862265,0.7271925319740415,110.38786640853962,0.0
10.0,4.0,4.0,2.0,-6.0,4.0,0.7338403673862265,0.7271925319740415,110.38786640853962,0.0
11.0,4.0,4.0,2.0,-6.0,6.0,0.7338403673862265,0.7271925319740415,110.38786640853962,0.0
12.0,4.0,4.0,2.0,-6.0,8.0,0.7338403673862265,0.7271925319740415,110.38786640853962,0.0
13.0,4.0,4.0,2.0,-8.0,2.0,0.7338403673862265,0.7271925319740415,110.38786640853962,0.0
14.0,4.0,4.0,2.0,-8.0,4.0,0.7338403673862265,0.7271925319740415,110.38786640853962,0.0
15.0,4.0,4.0,2.0,-8.0,6.0,0.7338403673862265,0.7271925319740415,110.38786640853962,0.0
16.0,4.0,4.0,2.0,-8.0,8.0,0.7338403673862265,0.7271925319740415,110.38786640853962,0.0
17.0,4.0,4.0,4.0,-2.0,2.0,0.7337812218456515,0.7271319091627955,110.35444666898591,0.0
18.0,4.0,4.0,4.0,-2.0,4.0,0.7337812218456515,0.7271319091627955,110.35444666898591,0.0
19.0,4.0,4.0,4.0,-2.0,6.0,0.7337812218456515,0.7271319091627955,110.35444666898591,0.0
20.0,4.0,4.0,4.0,-2.0,8.0,0.7337812218456515,0.7271319091627955,110.35444666898591,0.0
21.0,4.0,4.0,4.0,-4.0,2.0,0.7337812218456515,0.7271319091627955,110.35444666898591,0.0
22.0,4.0,4.0,4.0,-4.0,4.0,0.7337812218456515,0.7271319091627955,110.35444666898591,0.0
23.0,4.0,4.0,4.0,-4.0,6.0,0.7337812218456515,0.7271319091627955,110.35444666898591,0.0
24.0,4.0,4.0,4.0,-4.0,8.0,0.7337812218456515,0.7271319091627955,110.35444666898591,0.0
25.0,4.0,4.0,4.0,-6.0,2.0,0.7337812218456515,0.7271319091627955,110.35444666898591,0.0
26.0,4.0,4.0,4.0,-6.0,4.0,0.7337812218456515,0.7271319091627955,110.35444666898591,0.0
27.0,4.0,4.0,4.0,-6.0,6.0,0.7337812218456515,0.7271319091627955,110.35444666898591,0.0
28.0,4.0,4.0,4.0,-6.0,8.0,0.7337812218456515,0.7271319091627955,110.35444666898591,0.0
29.0,4.0,4.0,4.0,-8.0,2.0,0.7337812218456515,0.7271319091627955,110.35444666898591,0.0
30.0,4.0,4.0,4.0,-8.0,4.0,0.7337812218456515,0.7271319091627955,110.35444666898591,0.0
31.0,4.0,4.0,4.0,-8.0,6.0,0.7337812218456515,0.7271319091627955,110.35444666898591,0.0
32.0,4.0,4.0,4.0,-8.0,8.0,0.7337812218456515,0.7271319091627955,110.35444666898591,0.0
33.0,4.0,4.0,6.0,-2.0,2.0,0.733752902830011,0.7271028828266903,110.3384504803907,0.0
34.0,4.0,4.0,6.0,-2.0,4.0,0.733752902830011,0.7271028828266903,110.3384504803907,0.0
35.0,4.0,4.0,6.0,-2.0,6.0,0.733752902830011,0.7271028828266903,110.3384504803907,0.0
36.0,4.0,4.0,6.0,-2.0,8.0,0.733752902830011,0.7271028828266903,110.3384504803907,0.0
37.0,4.0,4.0,6.0,-4.0,2.0,0.733752902830011,0.7271028828266903,110.3384504803907,0.0
38.0,4.0,4.0,6.0,-4.0,4.0,0.733752902830011,0.7271028828266903,110.3384504803907,0.0
39.0,4.0,4.0,6.0,-4.0,6.0,0.733752902830011,0.7271028828266903,110.3384504803907,0.0
40.0,4.0,4.0,6.0,-4.0,8.0,0.733752902830011,0.7271028828266903,110.3384504803907,0.0
41.0,4.0,4.0,6.0,-6.0,2.0,0.733752902830011,0.7271028828266903,110.3384504803907,0.0
42.0,4.0,4.0,6.0,-6.0,4.0,0.733752902830011,0.7271028828266903,110.3384504803907,0.0
43.0,4.0,4.0,6.0,-6.0,6.0,0.733752902830011,0.7271028828266903,110.3384504803907,0.0
44.0,4.0,4.0,6.0,-6.0,8.0,0.733752902830011,0.7271028828266903,110.3384504803907,0.0
45.0,4.0,4.0,6.0,-8.0,2.0,0.733752902830011,0.7271028828266903,110.3384504803907,0.0
46.0,4.0,4.0,6.0,-8.0,4.0,0.733752902830011,0.7271028828266903,110.3384504803907,0.0
47.0,4.0,4.0,6.0,-8.0,6.0,0.733752902830011,0.7271028828266903,110.3384504803907,0.0
48.0,4.0,4.0,6.0,-8.0,8.0,0.733752902830011,0.7271028828266903,110.3384504803907,0.0
49.0,4.0,4.0,8.0,-2.0,2.0,0.7337039726520871,0.7270527305259136,110.31081995419432,0.0
50.0,4.0,4.0,8.0,-2.0,4.0,0.7337039726520871,0.7270527305259136,110.31081995419432,0.0
