Iteration,Rolling Sizes CDunit,Rolling Sizes FB554,Rolling Sizes AlCon,Shift Hours AlCon,Shift Hours FB554,R-squared,Adj R-Squared,F-statistic,Prob (F-statistic)
3665,10,10,10,-2,2,0.795871038,0.795621992,3195.687531,0
3666,10,10,10,-2,4,0.795871038,0.795621992,3195.687531,0
3667,10,10,10,-2,6,0.795871038,0.795621992,3195.687531,0
3668,10,10,10,-2,8,0.795871038,0.795621992,3195.687531,0
3669,10,10,10,-4,2,0.795871038,0.795621992,3195.687531,0
3670,10,10,10,-4,4,0.795871038,0.795621992,3195.687531,0
3671,10,10,10,-4,6,0.795871038,0.795621992,3195.687531,0
3672,10,10,10,-4,8,0.795871038,0.795621992,3195.687531,0
3673,10,10,10,-6,2,0.795871038,0.795621992,3195.687531,0
3674,10,10,10,-6,4,0.795871038,0.795621992,3195.687531,0
3675,10,10,10,-6,6,0.795871038,0.795621992,3195.687531,0
3676,10,10,10,-6,8,0.795871038,0.795621992,3195.687531,0
3677,10,10,10,-8,2,0.795871038,0.795621992,3195.687531,0
3678,10,10,10,-8,4,0.795871038,0.795621992,3195.687531,0
3679,10,10,10,-8,6,0.795871038,0.795621992,3195.687531,0
3680,10,10,10,-8,8,0.795871038,0.795621992,3195.687531,0
3681,10,10,12,-2,2,0.795870977,0.795621932,3195.686348,0
3682,10,10,12,-2,4,0.795870977,0.795621932,3195.686348,0
3683,10,10,12,-2,6,0.795870977,0.795621932,3195.686348,0
3684,10,10,12,-2,8,0.795870977,0.795621932,3195.686348,0
3685,10,10,12,-4,2,0.795870977,0.795621932,3195.686348,0
3686,10,10,12,-4,4,0.795870977,0.795621932,3195.686348,0
3687,10,10,12,-4,6,0.795870977,0.795621932,3195.686348,0
3688,10,10,12,-4,8,0.795870977,0.795621932,3195.686348,0
3689,10,10,12,-6,2,0.795870977,0.795621932,3195.686348,0
3690,10,10,12,-6,4,0.795870977,0.795621932,3195.686348,0
3691,10,10,12,-6,6,0.795870977,0.795621932,3195.686348,0
3692,10,10,12,-6,8,0.795870977,0.795621932,3195.686348,0
3693,10,10,12,-8,2,0.795870977,0.795621932,3195.686348,0
3694,10,10,12,-8,4,0.795870977,0.795621932,3195.686348,0
3695,10,10,12,-8,6,0.795870977,0.795621932,3195.686348,0
3696,10,10,12,-8,8,0.795870977,0.795621932,3195.686348,0
3697,10,10,14,-2,2,0.795870563,0.795621517,3195.678189,0
3698,10,10,14,-2,4,0.795870563,0.795621517,3195.678189,0
3699,10,10,14,-2,6,0.795870563,0.795621517,3195.678189,0
3700,10,10,14,-2,8,0.795870563,0.795621517,3195.678189,0
3701,10,10,14,-4,2,0.795870563,0.795621517,3195.678189,0
3702,10,10,14,-4,4,0.795870563,0.795621517,3195.678189,0
3703,10,10,14,-4,6,0.795870563,0.795621517,3195.678189,0
3704,10,10,14,-4,8,0.795870563,0.795621517,3195.678189,0
3705,10,10,14,-6,2,0.795870563,0.795621517,3195.678189,0
3706,10,10,14,-6,4,0.795870563,0.795621517,3195.678189,0
3707,10,10,14,-6,6,0.795870563,0.795621517,3195.678189,0
3708,10,10,14,-6,8,0.795870563,0.795621517,3195.678189,0
3709,10,10,14,-8,2,0.795870563,0.795621517,3195.678189,0
3710,10,10,14,-8,4,0.795870563,0.795621517,3195.678189,0
